ISO3,Country,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Human Development Index (2021),Life Expectancy at Birth (2021),Expected Years of Schooling (2021),Mean Years of Schooling (2021),Gross National Income Per Capita (2021),GDI Group (2021),Gender Development Index (2021),HDI female (2021),"Life Expectancy at Birth, female (2021)","Expected Years of Schooling, female (2021)","Mean Years of Schooling, female (2021)","Gross National Income Per Capita, female (2021)",HDI male (2021),"Life Expectancy at Birth, male (2021)","Expected Years of Schooling, male (2021)","Mean Years of Schooling, male (2021)","Gross National Income Per Capita, male (2021)",Inequality-adjusted Human Development Index (2021),Coefficient of human inequality (2021),Overall loss (%) (2021),Inequality in life expectancy (2021),Inequality in eduation (2021),Inequality in income (2021),GII Rank (2021),Gender Inequality Index (2021),"Maternal Mortality Ratio (deaths per 100,000 live births) (2021)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2021)","Labour force participation rate, female (% ages 15 and older) (2021)","Labour force participation rate, male (% ages 15 and older) (2021)",Difference from HDI rank (2021),Planetary pressures-adjusted Human Development Index (2021),Difference from HDI value (%) (2021),Carbon dioxide emissions per capita (production) (tonnes) (2021),Material footprint per capita (tonnes) (2021)
AFG,Afghanistan,Low,SA,180,0.478,61.9824,10.26384398,2.98506999,1824.190915,5,0.681,0.36484023,65.2791,7.736391273,2.311079979,532.9553682,0.535610873,58.9147,12.67218933,3.401309967,3089.270418,,,,26.16536713,45.36517,,167,0.678,638,82.565,14.848,66.515,5,0.474,0.836820084,0.312376488,1.38
AGO,Angola,Medium,SSA,148,0.586,61.6434,12.1721,5.417390823,5465.617791,4,0.903,0.556745058,64.3066,11.5409,4.183875561,4751.373256,0.616557703,59.0291,12.9132,6.894268513,6196.650485,0.407,30.41216757,30.54607509,28.1877327,34.17144,28.87733,136,0.537,241,138.402,73.968,79.071,10,0.577,1.535836177,0.675409733,2.18
ALB,Albania,High,ECA,67,0.796,76.4626,14.44799995,11.28645502,14131.11039,1,1.007,0.799221622,79.1726,15.31414032,11.68443326,11637.21567,0.793604613,74.0869,13.65186977,10.92069549,16629.90211,0.71,10.76768488,10.8040201,6.790634632,12.33344,13.17898,39,0.144,15,14.517,50.733,66.154,28,0.739,7.16080402,1.575753953,12.96
AND,Andorra,Very High,,40,0.858,80.3684,13.30023874,10.55511952,51166.62661,,,,84.3238,,10.48113913,,,77.1723,,10.62797735,,,,,5.297909737,10.00815435,,,,,5.887,,,,,,6.034944671,
ARE,United Arab Emirates,Very High,AS,26,0.911,78.7104,15.71769047,12.69402981,62573.59181,2,0.953,0.87713227,80.9371,16.53561974,12.52534008,28921.14482,0.920631429,77.2164,15.20983028,12.80508041,77317.68017,,,,4.524926186,12.63435527,,11,0.049,3,3.085,46.542,88.003,-105,0.518,43.13940724,15.19333592,68.95
ARG,Argentina,Very High,LAC,47,0.842,75.3899,17.8748703,11.14726927,20925.26814,1,0.997,0.833324995,78.6471,19.23380089,11.35364528,15580.71571,0.835521148,72.1818,16.55146027,10.90602315,26376.42505,0.72,13.83730084,14.48931116,7.624845505,5.78729,28.099767,69,0.287,39,39.065,50.01,71.603,26,0.759,9.857482185,3.473291552,15.81
ARM,Armenia,High,ECA,85,0.759,72.0431,13.11676025,11.33030033,13157.9939,1,1.001,0.756949514,77.35,13.81657982,11.32151985,8736.263849,0.756110563,66.5544,12.52400017,11.34119034,18557.94799,0.688,9.136398122,9.354413702,7.035874367,2.93495,17.43837,53,0.216,26,18.511,42.663,63.004,33,0.727,4.216073781,1.987788379,5.95
ATG,Antigua and Barbuda,High,LAC,71,0.788,78.4968,14.18462641,9.293740746,16792.36595,,,,80.9411,15.20951739,,,,75.7753,13.19281252,,,,,,4.746305943,,,,,42,33.11,,,,,,4.395122997,
AUS,Australia,Very High,,5,0.951,84.5265,21.05459023,12.72681999,49238.43335,2,0.968,0.93167223,85.8396,21.81757927,12.81058979,37485.5883,0.962956483,83.1718,20.30187988,12.63971043,61160.79011,0.876,7.640183183,7.886435331,2.73797965,3.056569899,17.126,19,0.073,6,8.096,61.057,70.547,-87,0.637,33.01787592,15.36837971,46.82
AUT,Austria,Very High,,25,0.916,81.5797,16.00795937,12.25669003,53618.67138,1,0.98,0.905682295,84.084,16.39508057,11.97801018,43413.88736,0.923877356,79.0433,15.64367962,12.55373955,64148.48737,0.851,6.904079795,7.096069869,3.256919384,2.52241,14.93291,12,0.053,5,5.521,55.514,66.283,9,0.766,16.37554585,6.732425105,24.62
AZE,Azerbaijan,High,ECA,91,0.745,69.3658,13.49689007,10.5429697,14256.74456,2,0.974,0.733874991,73.2871,13.63412952,10.2091198,10536.01593,0.753249711,65.6458,13.37728024,10.90130997,18075.8323,0.685,7.915732963,8.053691275,11.32313728,3.56506161,8.859,70,0.294,26,40.079,60.366,67.342,18,0.688,7.651006711,3.720272365,10.56
BDI,Burundi,Low,SSA,187,0.426,61.6627,10.72272189,3.129266883,731.7867086,3,0.935,0.412236237,63.6092,10.91547198,2.491789031,667.5207678,0.440934982,59.7112,10.53523917,3.851800592,796.9564563,0.302,28.67465287,29.10798122,25.60641861,39.48821,20.92933,127,0.505,548,53.621,78.991,77.379,2,0.422,0.938967136,0.050642582,1.71
BEL,Belgium,Very High,,13,0.937,81.8787,19.60421944,12.37567997,52293.39977,1,0.978,0.925048073,84.2957,20.70512962,12.31939983,42532.93431,0.946127575,79.4344,18.53882027,12.43480968,62295.08289,0.874,6.587387026,6.723585912,3.582081079,5.87561,10.30447,10,0.048,5,5.33,49.842,58.812,-17,0.742,20.81109925,7.226205719,33.45
BEN,Benin,Low,SSA,166,0.525,59.821,10.76667976,4.304786445,3408.965923,5,0.88,0.491304048,61.4449,9.893950462,3.315197468,2997.705686,0.558101711,58.2208,11.62110043,5.44505428,3818.802984,0.334,36.1098793,36.38095238,32.66172791,43.69355,31.97436,152,0.602,397,92.259,69.334,72.599,2,0.515,1.904761905,0.552890326,3.4
BFA,Burkina Faso,Low,SSA,184,0.449,59.2696,9.142100334,2.114962259,2117.915916,4,0.903,0.425128833,60.9896,9.109199524,1.583301027,1659.234852,0.470559026,57.4745,9.17743969,2.704233799,2579.899962,0.315,29.27530611,29.844098,31.36138916,39.15279412,17.31173505,157,0.621,320,110.509,57.237,72.725,1,0.442,1.559020045,0.189903275,2.96
BGD,Bangladesh,Medium,SA,129,0.661,72.3811,12.44198036,7.379059792,5472.104781,5,0.898,0.61737477,74.2672,13.00008011,6.755380154,2811.243422,0.687568946,70.5989,11.90853977,8.020810127,8176.050077,0.503,23.13718939,23.903177,15.54324818,37.31177,16.55655,131,0.53,173,75.496,34.869,78.782,25,0.649,1.815431165,0.563737615,2.88
BGR,Bulgaria,High,,68,0.795,71.798,13.89729023,11.41318035,23078.95595,1,0.995,0.792403351,75.4824,14.17173004,11.50780964,18109.38936,0.796486006,68.435,13.64058971,11.30865955,28356.81512,0.701,11.37176091,11.82389937,5.180382729,5.93179,23.00311,52,0.21,10,38.605,49.143,62.636,12,0.708,10.94339623,5.388845994,15.02
BHR,Bahrain,Very High,AS,35,0.875,78.7605,16.29755974,11.04658985,39497.24788,3,0.927,0.828959683,80.0178,17.00485992,10.78437042,16786.17306,0.89407466,77.7566,15.85118008,11.17325974,53359.49671,,,,4.50674057,12.56789221,,46,0.181,14,8.676,42.361,83.531,-51,0.647,26.05714286,20.54572969,23.83
BHS,Bahamas,Very High,LAC,55,0.812,71.5983,12.89945,12.64192386,30486.18429,,,,75.0957,,12.7414244,25896.98418,,68.1206,,12.55653686,35495.42524,,,,8.739097595,6.917101819,,78,0.329,70,25.686,65.627,71.486,-43,0.634,21.92118227,5.944655227,37.8
BIH,Bosnia and Herzegovina,High,ECA,74,0.78,75.3003,13.8,10.53631973,15241.91465,3,0.94,0.753943386,77.5302,14.07886364,9.778189659,10709.28492,0.802005824,73.1078,13.52113636,11.35262966,19917.00615,0.677,12.97720744,13.20512821,3.98234725,14.78890508,20.16037,38,0.136,10,9.86,32.257,52.351,6,0.691,11.41025641,6.528247977,14.44
BLR,Belarus,Very High,ECA,60,0.808,72.438,15.16996956,12.14358044,18848.96704,1,1.011,0.812031188,77.6972,15.3424902,12.15460014,15158.32303,0.802832,67.2978,15.00576019,12.12977982,23165.02077,0.765,5.255721395,5.321782178,3.349644184,2.77203,9.64549,29,0.104,2,11.85,57.311,71.387,32,0.751,7.054455446,6.07931383,5.59
BLZ,Belize,Medium,LAC,123,0.683,70.4697,12.99168968,8.847599983,6309.099778,1,0.975,0.671552426,74.3322,13.29214954,9.042070389,4248.54338,0.688837987,67.1187,12.68122959,8.652890205,8344.773506,0.535,20.6622413,21.66910688,9.247613907,14.81278,37.92633,86,0.364,36,57.127,46.897,76.752,9,0.637,6.734992679,1.465666402,12.21
BOL,Bolivia,Medium,LAC,118,0.692,63.6304,14.94697094,9.827750206,8111.190194,2,0.964,0.679814318,66.7999,14.92614555,9.216730118,6855.904661,0.704911026,60.879,14.96779156,10.49209023,9358.680731,0.549,20.47608422,20.66473988,18.02205467,16.54294,26.863258,99,0.418,155,63.792,68.283,83.765,11,0.647,6.502890173,1.773319863,11.32
BRA,Brazil,High,LAC,87,0.754,72.7504,15.59906006,8.128813955,14369.88848,1,0.994,0.750013092,76.0086,16.03347969,8.333614199,10903.075,0.754680006,69.5597,15.16670036,7.89424439,17959.96471,0.576,22.31580091,23.60742706,9.988456726,15.65257,41.306376,94,0.39,60,45.2,49.11,68.24,5,0.676,10.34482759,2.198836949,18.87
BRB,Barbados,High,LAC,70,0.79,77.5714,15.71338458,9.852700596,12306.341,2,1.034,0.799110548,79.3594,17.69855459,10.28248279,10235.21434,0.772530747,75.6292,13.76279051,9.088873873,14554.61405,0.657,15.71572331,16.83544304,8.014942169,5.54685,33.58537775,64,0.268,27,42.297,56.055,63.727,,,,3.781470204,
BRN,Brunei,Very High,EAP,51,0.829,74.6424,13.95178032,9.18,64489.53954,1,0.984,0.819470894,76.8812,14.43284988,9.162,47578.75676,0.833025563,72.6017,13.51095009,9.198,80260.78486,,,,7.503439903,,,61,0.259,31,9.978,54.069,72.339,-109,0.358,56.81544029,23.22054316,85.7
BTN,Bhutan,Medium,SA,127,0.666,71.815,13.22500478,5.170262283,9437.541512,3,0.937,0.641322529,73.7734,13.63224386,4.450652072,6670.576078,0.684476486,70.1411,12.83391543,5.761204893,11896.32998,0.471,27.70138498,29.27927928,14.92243862,48.22657529,19.95514103,98,0.415,183,18.977,51.625,67.397,-13,0.553,16.96696697,2.495308499,32.43
BWA,Botswana,Medium,SSA,117,0.693,61.1409,12.26513765,10.34,16198.31841,1,0.981,0.686186101,63.5942,12.37531361,10.274,13839.15683,0.699553277,58.6909,12.15496169,10.398,18618.32316,,,,21.56492996,23.27683,,117,0.468,144,49.324,56.282,65.148,0,0.633,8.658008658,2.772080776,14.19
CAF,Central African Republic,Low,SSA,188,0.404,53.8947,8.040171714,4.334,966.0586107,5,0.81,0.359110957,56.3035,6.66856003,3.108,769.842841,0.443253806,51.6455,9.393838816,5.594,1162.317208,0.24,40.13981348,40.59405941,36.02700043,35.19785,49.19459,166,0.672,829,160.507,63.312,79.486,1,0.401,0.742574257,0.038906639,1.57
CAN,Canada,Very High,,15,0.936,82.6565,16.39625931,13.83442722,46807.98619,1,0.988,0.929499536,84.6711,16.89101982,13.91497893,38651.80939,0.941126183,80.621,15.91734982,13.74785411,55065.25481,0.86,7.901529772,8.11965812,4.106589317,2.521,17.077,17,0.069,10,6.978,60.801,69.741,-46,0.687,26.6025641,14.19693746,35.05
CHE,Switzerland,Very High,,1,0.962,83.9872,16.50029945,13.85966015,66933.00454,2,0.967,0.943709307,85.8959,16.40518951,13.48301029,54596.87394,0.975611273,81.9952,16.5934391,14.24829006,79450.51016,0.894,6.89990636,7.068607069,3.103429079,2.01457,15.58172,3,0.018,5,2.212,61.728,72.705,-7,0.796,17.25571726,3.731913422,31.14
CHL,Chile,Very High,LAC,42,0.855,78.9435,16.73130035,10.9349663,24563.24486,2,0.967,0.838413012,81.4368,16.96546936,10.84131778,17552.92999,0.867267868,76.4722,16.50263023,11.04624186,31677.27702,0.722,14.97303049,15.55555556,4.907827854,11.73821662,28.273047,47,0.187,13,24.082,44.172,65.547,27,0.775,9.356725146,4.24621503,13.5
CHN,China,High,EAP,79,0.768,78.2107,14.2361149,7.600118446,17504.39969,1,0.984,0.761168006,81.1546,14.77470471,7.33460805,13979.68971,0.773243024,75.4634,13.69752509,7.861852212,20882.86637,0.651,14.77805961,15.234375,5.263178825,11.68,27.391,48,0.192,29,11.048,61.612,74.29,-14,0.648,15.625,7.411735759,21.96
CIV,Ivory Coast,Medium,SSA,159,0.55,58.5983,10.67558002,5.199138977,5217.448516,5,0.887,0.515563727,59.9409,10.01710033,4.6767215,3763.003044,0.581439618,57.4001,11.33197021,5.712839185,6642.844409,0.358,34.3359808,34.90909091,30.35745239,45.60904,27.04145,155,0.613,617,104.968,45.92,64.893,5,0.54,1.818181818,0.381780097,3.26
CMR,Cameroon,Medium,SSA,151,0.576,60.3334,13.10859922,6.15131,3620.932408,5,0.885,0.540217006,62.0182,12.42278161,4.81709,2981.385929,0.610395901,58.6899,13.79085757,7.50058,4263.787131,0.393,31.72993835,31.77083333,28.48371506,31.71699,34.98911,148,0.565,529,110.378,70.154,80.747,9,0.569,1.215277778,0.259524431,2.13
COD,The Democratic Republic of the Congo,Low,SSA,179,0.479,59.193,9.817864451,7.018696516,1076.098781,5,0.885,0.448765594,61.5207,9.644028442,5.596261446,896.3528837,0.507288188,56.9531,10.09291419,8.455105537,1258.657211,0.341,28.68733521,28.81002088,31.66004562,26.76947,27.63249,151,0.601,473,108.962,61.209,69.065,2,0.473,1.252609603,0.027660353,2.75
COG,Congo,Medium,SSA,153,0.571,63.5187,12.33081527,6.166,2889.283521,3,0.934,0.551580285,64.9346,12.2485696,5.59,2532.152974,0.590449068,62.1236,12.41765711,6.762,3247.26424,0.432,24.30610437,24.34325744,20.98684311,20.93222,30.99925,147,0.564,378,103.633,65.062,67.605,9,0.564,1.22591944,0.564833429,1.88
COL,Colombia,High,LAC,88,0.752,72.8296,14.44274998,8.862859726,14384.35666,1,0.984,0.743729498,76.4421,14.68078995,9.016329765,10280.75598,0.755726924,69.4041,14.21420002,8.697070122,18598.73316,0.589,20.57743344,21.67553191,9.370814323,14.64929,37.712196,102,0.424,83,59.034,52.182,77.998,28,0.711,5.45212766,1.751176049,9.09
COM,Comoros,Medium,SSA,156,0.558,63.4174,11.92432393,5.078649,3142.064119,5,0.891,0.521857496,65.8272,12.1795523,3.953311349,2013.580489,0.585432331,61.2453,11.70042118,6.031009312,4260.210455,0.31,43.06900853,44.44444444,25.57926559,47.61438,56.01338,,,273,58.173,32.119,54.534,,,,0.29721677,
CPV,Cabo Verde,Medium,SSA,128,0.662,74.0518,12.55461444,6.287719287,6230.200199,1,0.981,0.653226941,78.4572,12.83086562,6.025999125,4681.791749,0.666122007,69.5891,12.28982854,6.573896076,7795.748187,,,,8.794361115,27.38759118,,84,0.349,58,55.228,46.91,61.705,,,,0.98910586,
CRI,Costa Rica,Very High,LAC,58,0.809,77.0232,16.54577065,8.804059982,19974.27358,1,0.996,0.806325603,79.8106,17.05911064,8.892390251,16567.93315,0.809722197,74.4177,16.04846001,8.702249527,23375.95773,0.664,16.96065133,17.92336218,5.891644001,11.57677,33.41354,60,0.256,27,37.148,47.527,71.142,26,0.746,7.787391842,1.552260862,14.43
CUB,Cuba,High,LAC,83,0.764,73.6829,14.44305992,12.49773438,7878.847482,2,0.961,0.744772411,76.3585,15.10297966,12.59368627,5103.348554,0.774843635,71.2446,13.81696987,12.40169983,10693.00768,,,,4.628062248,9.09712,,73,0.303,36,48.82,40.285,68.454,30,0.721,5.628272251,1.779198659,9.19
CYP,Cyprus,Very High,,29,0.896,81.2033,15.64826965,12.44017029,38188.42152,2,0.972,0.881957454,83.2037,15.69172001,12.41040993,30616.52084,0.907058666,79.2092,15.61785984,12.47198009,45734.5501,0.819,8.399155342,8.59375,2.644016027,9.5209,13.03255,35,0.123,6,6.827,56.648,68.766,-22,0.708,20.98214286,5.380504059,36.58
CZE,Czechia,Very High,,32,0.889,77.7283,16.21968079,12.86931038,38745.21386,1,0.989,0.883640143,80.8885,16.7543602,12.71214962,30454.50542,0.893197721,74.6662,15.71041012,13.03565979,47288.80881,0.85,4.378451583,4.386951631,3.112524748,1.25563,8.7672,34,0.12,3,9.709,51.668,68.064,6,0.748,15.86051744,8.215039321,21.3
DEU,Germany,Very High,,9,0.942,80.6301,17.01013947,14.09096691,54534.21682,1,0.978,0.931498431,83.2215,17.00415993,13.84053479,46149.9525,0.952180253,78.0809,17.0161705,14.3494364,63142.69975,0.883,6.177129593,6.263269639,3.408158779,2.6632,12.46003,19,0.073,7,7.465,56.843,66.041,4,0.804,14.64968153,7.690141865,19.4
DJI,Djibouti,Low,AS,171,0.509,62.3049,7.43298,4.1,5024.993944,,,,65.0189,7.50865,,2178.95886,,59.7276,7.43298,,7911.350717,,,,25.70430756,,27.74495175,,,248,22.722,17.218,44.147,-7,0.47,7.662082515,0.355728745,15.86
DMA,Dominica,High,LAC,102,0.72,72.814,13.3191862,8.142186,11487.62422,,,,76.3013,14.61002724,,,,69.7249,12.156349,,,,,,8.952466011,,,,,,38.49,,,,,,1.934403912,
DNK,Denmark,Very High,,6,0.948,81.3753,18.71479988,12.96049023,60364.78595,1,0.98,0.937319033,83.2762,19.34136963,13.15695,49876.26463,0.956524411,79.4848,18.10860062,12.76414967,70961.09155,0.898,5.186913722,5.274261603,3.006301165,2.50376,10.05068,1,0.013,4,1.908,57.721,66.653,0,0.803,15.29535865,4.522442415,25.86
DOM,Dominican Republic,High,LAC,80,0.767,72.6146,14.46655802,9.306864107,17989.60037,1,1.014,0.771504074,76.2914,15.35246548,9.607207455,13695.31146,0.760780375,69.2978,13.57888472,8.988241636,22248.06125,0.618,19.4119047,19.42633638,17.5623951,15.04513,25.628189,106,0.429,95,65.629,49.577,75.162,24,0.719,6.258148631,2.559875589,9.54
DZA,Algeria,High,AS,91,0.745,76.3767,14.62689602,8.069284397,10800.22546,5,0.88,0.680221302,77.9588,15.34625536,7.735659996,3549.996745,0.773257248,74.8787,13.96632659,8.438411764,17787.31291,0.598,19.07287475,19.73154362,12.43080425,33.28262,11.5052,126,0.499,112,11.714,15.684,64.48,16,0.687,7.785234899,3.534590875,11.21
ECU,Ecuador,High,LAC,95,0.74,73.67,14.62423038,8.817119598,10311.63273,1,0.98,0.730715581,77.4619,14.94892979,8.800060272,7450.795667,0.745435732,70.2604,14.31173992,8.836270332,13180.21773,0.604,17.76487784,18.37837838,8.870192528,13.3739,31.050541,85,0.362,59,63.163,53.344,76.519,27,0.704,4.864864865,1.753199871,7.74
EGY,Egypt,High,AS,97,0.731,70.2207,13.78649972,9.573026174,11731.69056,5,0.882,0.665947414,72.6077,13.84451035,9.802207806,3536.065178,0.75526319,67.9353,13.73198027,9.420359504,19740.68394,0.519,28.03942983,29.00136799,10.67237949,36.94291,36.503,109,0.443,37,44.767,15.385,67.088,25,0.692,5.335157319,2.085874268,8.22
ERI,Eritrea,Low,SSA,176,0.492,66.5358,8.064524628,4.8872352,1728.742667,,,,68.6547,7.49902872,,1387.317602,,64.3495,8.612197875,,2079.46542,,,,20.2650795,,,,,480,64.356,70.183,83.622,4,0.483,1.829268293,0.203678582,3.47
ESP,Spain,Very High,,27,0.905,83.01,17.91690063,10.60540009,38353.60164,1,0.986,0.895714434,85.7735,18.43042946,10.52787018,31212.63763,0.908603781,80.2091,17.4191494,10.68844986,45784.07701,0.788,12.64302265,12.9281768,2.883327961,15.73379,19.31195,14,0.057,4,6.281,52.654,62.412,24,0.819,9.502762431,4.468313378,13.48
EST,Estonia,Very High,,31,0.89,77.1436,15.92895985,13.54843044,38048.26372,1,1.021,0.898020476,81.2311,16.76152992,13.78102016,30995.40471,0.879365759,72.8152,15.14676952,13.2729702,45866.20685,0.829,6.647519602,6.853932584,2.925558805,2.02737,14.98963,28,0.1,9,8.764,57.453,70.169,-34,0.684,23.14606742,7.879475476,37.53
ETH,Ethiopia,Low,SSA,175,0.498,64.9748,9.651071421,3.201520681,2361.069604,4,0.921,0.477551765,68.2852,9.824613044,2.161845446,1943.575583,0.518618804,61.91,9.556187685,4.23844862,2774.393182,0.363,25.99192684,27.10843373,23.12960052,42.77036,12.07582,129,0.52,401,69.221,72.335,84.683,6,0.496,0.401606426,0.127560389,0.47
FIN,Finland,Very High,,11,0.94,82.0381,19.05192947,12.87362003,49452.16672,1,0.989,0.934283259,84.7177,19.85631943,13.04683971,41697.50156,0.944567946,79.3458,18.28832054,12.69112968,57393.79553,0.89,5.224387065,5.319148936,2.774231195,2.41555,10.48338,6,0.033,3,4.159,56.46,64.029,-28,0.731,22.23404255,7.090703013,36.73
FJI,Fiji,High,EAP,99,0.73,67.114,14.73679,10.92154799,9980.110866,3,0.931,0.698350818,68.8768,14.97936708,11.00194066,5664.186832,0.75013651,65.4261,14.49421292,10.84056513,14270.36834,,,,15.23796844,2.636659279,,77,0.318,34,26.843,37.701,75.257,,,,1.554361952,
FRA,France,Very High,,28,0.903,82.4988,15.81206989,11.61005974,45937.05273,1,0.99,0.897519009,85.485,16.15681076,11.43721962,38403.4713,0.906690802,79.425,15.47455025,11.80276966,53987.67697,0.825,8.485328055,8.637873754,3.816274166,7.72173,13.91798,22,0.083,8,9.529,51.897,59.675,21,0.803,11.07419712,4.23807293,17.1
FSM,Micronesia,Medium,EAP,134,0.628,70.71,11.54947988,7.804956,3696.173945,,,,74.608,,,,,67.1203,,,,,,,13.9006424,,26.38098943,,,88,35.835,,,,,,1.282352225,
